""	"mouse"	"month"	"organ"	"type"	"N1"	"N2"	"Nobs"	"chao"	"var"	"sd"
"37"	"X2"	6	"BL"	"L"	47	23	70	94.0108695652174	546.167851565711	23.3702343070349
"38"	"X2"	6	"BL"	"M"	50	12	62	114.083333333333	4042.24537037037	63.5786549902589
"39"	"X2"	7	"BL"	"L"	50	23	73	100.173913043478	681.453932768965	26.1046726232865
"40"	"X2"	7	"BL"	"M"	20	1	21	121	162400	402.988833592198
"41"	"X2"	8	"BL"	"L"	222	22	244	804.045454545455	236001.303155522	485.799653309389
"42"	"X2"	8	"BL"	"M"	13	NA	NA	NA	NA	NA
"43"	"X2"	9	"BL"	"L"	226	29	255	695.310344827586	112157.149452622	334.898715214947
"44"	"X2"	9	"BL"	"M"	7	NA	NA	NA	NA	NA
"45"	"X2"	10	"BL"	"L"	101	21	122	243.440476190476	12306.2436291977	110.933509947165
"46"	"X2"	10	"BL"	"M"	14	NA	NA	NA	NA	NA
"47"	"X2"	11	"BL"	"L"	190	23	213	605.391304347826	111921.274759596	334.546371613257
"48"	"X2"	11	"BL"	"M"	25	7	32	54.3214285714286	1307.85349854227	36.164257196053
"49"	"X2"	12	"BL"	"L"	96	21	117	226.714285714286	10111.6268221574	100.556585175499
"50"	"X2"	12	"BL"	"M"	33	4	37	105.0625	19363.78125	139.153804295822
"51"	"X2"	13	"BL"	"L"	192	24	216	600	102912	320.799002492215
"52"	"X2"	13	"BL"	"M"	29	NA	NA	NA	NA	NA
"53"	"X2"	14	"BL"	"L"	24	28	52	57.1428571428571	40.0932944606414	6.3319265994357
"54"	"X2"	14	"BL"	"M"	99	2	101	1326.125	12072994.3125	3474.62146319567
"55"	"X2"	15	"BL"	"L"	12	31	43	44.1612903225806	5.79074217045416	2.40639609591899
"56"	"X2"	15	"BL"	"M"	34	13	47	69.2307692307692	755.319981793355	27.483085376161
"57"	"X2"	15	"BM"	"DC"	58	32	90	116.28125	498.11181640625	22.3184187702949
"58"	"X2"	15	"BM"	"L"	14	36	50	51.3611111111111	6.7971536351166	2.60713513940428
"59"	"X2"	15	"BM"	"LSK"	24	1	25	169	335808	579.489430447182
"60"	"X2"	15	"BM"	"M"	14	39	53	54.2564102564103	6.12427721303461	2.47472770482625
"61"	"X2"	15	"BM"	"MP"	28	43	71	75.5581395348837	28.9314903090294	5.37880008078283
"62"	"X2"	15	"SP"	"DC"	32	5	37	88.2	8921.088	94.4515113695911
"63"	"X2"	15	"SP"	"L"	21	27	48	52.0833333333333	29.3899176954732	5.42124687645501
"64"	"X2"	15	"SP"	"M"	25	5	30	61.25	3406.25	58.3630876496438
"65"	"X3"	4	"BL"	"L"	205	19	224	776.960526315789	265664.600342616	515.426619745833
"66"	"X3"	4	"BL"	"M"	31	5	36	84.05	7878.278	88.7596642625467
"67"	"X3"	5	"BL"	"L"	113	22	135	280.102272727273	16638.1940740045	128.989123859357
"68"	"X3"	5	"BL"	"M"	36	7	43	89.2857142857143	5320.02332361516	72.9384900009259
"69"	"X3"	6	"BL"	"L"	212	23	235	723.521739130435	172476.801841045	415.303264905353
"70"	"X3"	6	"BL"	"M"	19	NA	NA	NA	NA	NA
"71"	"X3"	7	"BL"	"L"	124	29	153	285.551724137931	10790.7505842798	103.878537649891
"72"	"X3"	7	"BL"	"M"	17	NA	NA	NA	NA	NA
"73"	"X3"	8	"BL"	"L"	96	18	114	242	15758.2222222222	125.531757823358
"74"	"X3"	8	"BL"	"M"	10	NA	NA	NA	NA	NA
"75"	"X3"	9	"BL"	"L"	198	28	226	576.035714285714	73889.6818513119	271.826565757124
"76"	"X3"	9	"BL"	"M"	33	7	40	78.8928571428571	3796.41909620991	61.6150882187952
"77"	"X3"	10	"BL"	"L"	65	28	93	130.723214285714	1051.63083090379	32.4288579956771
"78"	"X3"	10	"BL"	"M"	20	2	22	72	20700	143.874945699382
"79"	"X3"	11	"BL"	"L"	70	28	98	141.75	1378.125	37.1231060122937
"80"	"X3"	11	"BL"	"M"	36	11	47	76.4545454545455	1476.13523666416	38.420505419166
"81"	"X3"	12	"BL"	"L"	48	26	74	96.1538461538462	431.541192535276	20.7735695665255
"82"	"X3"	12	"BL"	"M"	32	18	50	64.2222222222222	261.969821673525	16.185481817775
"83"	"X3"	13	"BL"	"L"	197	20	217	702.1125	194986.11825	441.572325049929
"84"	"X3"	13	"BL"	"M"	29	2	31	136.125	90354.9375	300.590980403604
"85"	"X3"	14	"BL"	"L"	59	23	82	119.836956521739	1244.32803895784	35.2750342162532
"86"	"X3"	14	"BL"	"M"	14	3	17	33.3333333333333	1564.37037037037	39.5521221980613
"87"	"X3"	15	"BL"	"L"	12	32	44	45.125	5.5546875	2.3568384543706
"88"	"X3"	15	"BL"	"M"	42	37	79	90.9189189189189	122.636882316941	11.0741537968795
"89"	"X3"	15	"BM"	"DC"	14	37	51	52.3243243243243	6.55680808639172	2.56062650271212
"90"	"X3"	15	"BM"	"L"	15	28	43	45.0089285714286	11.4180940233236	3.3790670344525
"91"	"X3"	15	"BM"	"LSK"	41	23	64	82.2717391304348	337.906283389496	18.3822273783537
"92"	"X3"	15	"BM"	"M"	36	33	69	78.8181818181818	96.7212622088655	9.83469685393838
"93"	"X3"	15	"BM"	"MP"	22	37	59	62.2702702702703	19.6502872485341	4.43286445185663
"94"	"X3"	15	"SP"	"DC"	55	7	62	170.035714285714	27959.2018950437	167.210053211653
"95"	"X3"	15	"SP"	"L"	12	35	47	48.0285714285714	4.95057725947522	2.22498927176632
"96"	"X3"	15	"SP"	"M"	37	8	45	87.78125	4029.458984375	63.4780196948125
"97"	"X4"	4	"BL"	"L"	164	12	176	736.333333333333	428530.481481481	654.622396104412
"98"	"X4"	4	"BL"	"M"	63	12	75	157.6875	9881.15625	99.4040052009978
"99"	"X4"	5	"BL"	"L"	104	15	119	299.266666666667	36633.3914074074	191.398514642636
"100"	"X4"	5	"BL"	"M"	18	3	21	48	4158	64.482555780614
"101"	"X4"	6	"BL"	"L"	28	18	46	56.8888888888889	165.887517146776	12.8797328057214
"102"	"X4"	6	"BL"	"M"	22	4	26	56.25	3947.625	62.8301281233772
"103"	"X4"	7	"BL"	"L"	213	23	236	729.141304347826	175713.984116873	419.182518858878
"104"	"X4"	7	"BL"	"M"	5	NA	NA	NA	NA	NA
"105"	"X4"	8	"BL"	"L"	219	20	239	838.5125	296494.902	544.513454379228
"106"	"X4"	8	"BL"	"M"	2	1	3	4	22	4.69041575982343
"107"	"X4"	9	"BL"	"L"	118	19	137	320.210526315789	30136.8628079895	173.599720068868
"108"	"X4"	9	"BL"	"M"	41	5	46	130.05	23631.498	153.725398031685
"109"	"X4"	10	"BL"	"L"	29	30	59	66.0083333333333	61.0036481481481	7.81048322116808
"110"	"X4"	10	"BL"	"M"	30	1	31	256	817650	904.240012386092
"111"	"X4"	11	"BL"	"L"	45	31	76	92.3306451612903	226.674792722634	15.0557229226176
"112"	"X4"	11	"BL"	"M"	42	16	58	85.5625	942.29296875	30.6967908542571
"113"	"X4"	12	"BL"	"L"	182	20	202	616.05	142573.977	377.589693980119
"114"	"X4"	12	"BL"	"M"	28	5	33	72.2	5293.568	72.7569103247245
"115"	"X4"	13	"BL"	"L"	82	25	107	174.24	3383.086464	58.1643057553342
"116"	"X4"	13	"BL"	"M"	34	6	40	88.1666666666667	6652.35185185185	81.5619510056733
"117"	"X4"	14	"BL"	"L"	20	33	53	56.030303030303	18.4099952694994	4.29068703933291
"118"	"X4"	14	"BL"	"M"	26	7	33	57.1428571428571	1518.53644314869	38.9684031382951
"119"	"X4"	15	"BL"	"L"	19	36	55	57.5069444444444	14.1441186556927	3.76086674261303
"120"	"X4"	15	"BL"	"M"	66	37	103	132.432432432432	544.833237912858	23.341663135108
"121"	"X4"	15	"BM"	"DC"	5	44	49	49.1420454545455	0.591660405709992	0.769194647478772
"122"	"X4"	15	"BM"	"L"	13	29	42	43.4568965517241	7.65173848866292	2.76617759528612
"123"	"X4"	15	"BM"	"LSK"	70	30	100	140.833333333333	1147.87037037037	33.8802356894159
"124"	"X4"	15	"BM"	"M"	34	28	62	72.3214285714286	114.694241982507	10.709539765205
"125"	"X4"	15	"BM"	"MP"	25	41	66	69.8109756097561	23.2353890686438	4.82031005938869
"126"	"X4"	15	"SP"	"DC"	75	12	87	204.1875	19511.71875	139.684353991419
"127"	"X4"	15	"SP"	"L"	15	36	51	52.5625	7.98611111111111	2.8259708263022
"128"	"X4"	15	"SP"	"M"	35	10	45	75.625	1730.3125	41.5970251340165
"129"	"X5"	5	"BL"	"L"	235	12	247	1397.52083333333	1792064.03356481	1338.67995934981
"130"	"X6"	15	"BL"	"L"	127	2	129	2145.125	32654168.5625	5714.38260554016
"131"	"X7"	15	"BL"	"L"	202	14	216	944.642857142857	620194.033527697	787.52398917601
"132"	"X7"	15	"BM"	"L"	41	17	58	82.7205882352941	733.662578872379	27.0862064319162
"133"	"X7"	15	"SPL"	"DC"	16	NA	NA	NA	NA	NA
